track_name,artist_name,artist_count,date_released,streams,bpm,key,danceability,valence,energy,acousticness,spotify_url
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,14/07/2023,141381703,125,B,80,89,83,31,https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN?si=2b81bbe96769490c
LALA,Myke Towers,1,23/03/2023,133716286,92,C#,71,61,74,7,https://open.spotify.com/track/7ABLbnD53cQK00mhcaOUVG?si=dfddaf5e76ff450c
vampire,Olivia Rodrigo,1,30/06/2023,140003974,138,F,51,32,53,17,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS?si=21a7cc0de9e349f8
Cruel Summer,Taylor Swift,1,23/08/2019,800840817,170,A,55,58,72,11,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr?si=1e2109a53fc44bb5
WHERE SHE GOES,Bad Bunny,1,18/05/2023,303236322,144,A,65,23,80,14,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1?si=c955cc3486f14034
Sprinter,"Dave, Central Cee",2,01/06/2023,183706234,141,C#,92,66,58,19,https://open.spotify.com/track/2FDTHlrBguDzQkp7PVj16Q?si=d68cb05e561c4fa1
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,16/03/2023,725980112,148,F,67,83,76,48,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb?si=9f16d66efa9a49b0
Columbia,Quevedo,1,07/07/2023,58149378,100,F,67,26,71,37,https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp?si=2170c168829f492c
fukumean,Gunna,1,15/05/2023,95217315,130,C#,85,22,62,12,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS?si=59db209075ad4623
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,17/03/2023,553634067,170,D,81,56,48,21,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU?si=dd4a09907d2942e7
un x100to,"Bad Bunny, Grupo Frontera",2,17/04/2023,505671438,83,F#,57,56,72,23,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK?si=53ff30c1c8ea4cae
Super Shy,NewJeans,1,07/07/2023,58255150,150,F,78,52,82,18,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd?si=632546cd6b2d4a9d
Daylight,David Kushner,1,14/04/2023,387570742,130,D,51,32,43,83,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj?si=3f1372b909ea4b41
As It Was,Harry Styles,1,31/03/2022,2513188493,174,F#,52,66,73,34,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e?si=6bbe681782784be2
Kill Bill,SZA,1,08/12/2022,1163093654,89,G#,64,43,73,5,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8?si=ea2ccd7f689049d0
Cupid - Twin Ver.,Fifty Fifty,1,24/02/2023,496795686,120,B,78,76,59,43,https://open.spotify.com/track/5pMPNxZz50iup8cXchRHxm?si=5cdb2c83f54a45d5
Classy 101,"Feid, Young Miko",2,31/03/2023,335222234,100,B,86,67,66,14,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx?si=211406b7e157410c
Like Crazy,Jimin,1,24/03/2023,363369738,120,G,63,36,73,0,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR?si=b1ff05ec760f4226
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,22/06/2023,86444842,140,F,65,87,74,22,https://open.spotify.com/track/7mXuWTczZNxG5EDcjFEuJR?si=09f622438d7a44af
